date,coin,price_in_usd
12/31/2010,BITCOIN,0.3
1/1/2011,BITCOIN,0.3
1/2/2011,BITCOIN,0.29997
1/3/2011,BITCOIN,0.295
1/4/2011,BITCOIN,0.29895
1/5/2011,BITCOIN,0.298916302
1/6/2011,BITCOIN,0.298
1/7/2011,BITCOIN,0.32
1/8/2011,BITCOIN,0.3229
1/9/2011,BITCOIN,0.323
1/10/2011,BITCOIN,0.32659
1/11/2011,BITCOIN,0.32659
1/12/2011,BITCOIN,0.318799621
1/13/2011,BITCOIN,0.3176
1/14/2011,BITCOIN,0.399990006
1/15/2011,BITCOIN,0.386
1/16/2011,BITCOIN,0.38679
1/17/2011,BITCOIN,0.3495
1/18/2011,BITCOIN,0.31299
1/19/2011,BITCOIN,0.31299
1/20/2011,BITCOIN,0.39
1/21/2011,BITCOIN,0.41991
1/22/2011,BITCOIN,0.440035529
1/23/2011,BITCOIN,0.4424
1/24/2011,BITCOIN,0.4199
1/25/2011,BITCOIN,0.41
1/26/2011,BITCOIN,0.41508513
1/27/2011,BITCOIN,0.4212
1/28/2011,BITCOIN,0.444484044
1/29/2011,BITCOIN,0.439
1/30/2011,BITCOIN,0.477142034
1/31/2011,BITCOIN,0.52513687
2/1/2011,BITCOIN,0.707510117
2/2/2011,BITCOIN,0.725434822
2/3/2011,BITCOIN,0.693898368
2/4/2011,BITCOIN,0.810958971
2/5/2011,BITCOIN,0.911671477
2/6/2011,BITCOIN,0.898
2/7/2011,BITCOIN,0.88942137
2/8/2011,BITCOIN,0.918
2/9/2011,BITCOIN,1.016050245
2/10/2011,BITCOIN,0.979652963
2/11/2011,BITCOIN,1.054069454
2/12/2011,BITCOIN,1.078703284
2/13/2011,BITCOIN,1.05
2/14/2011,BITCOIN,1.070012624
2/15/2011,BITCOIN,1.05
2/16/2011,BITCOIN,1.031687629
2/17/2011,BITCOIN,1.039923198
2/18/2011,BITCOIN,0.898955915
2/19/2011,BITCOIN,0.944028117
2/20/2011,BITCOIN,0.865
2/21/2011,BITCOIN,0.835747428
2/22/2011,BITCOIN,0.87704178
2/23/2011,BITCOIN,0.9
2/24/2011,BITCOIN,0.989095266
2/25/2011,BITCOIN,0.914652002
2/26/2011,BITCOIN,0.958
2/27/2011,BITCOIN,0.895033115
2/28/2011,BITCOIN,0.860220923
3/1/2011,BITCOIN,0.921096892
3/2/2011,BITCOIN,0.9399
3/3/2011,BITCOIN,0.939073383
3/4/2011,BITCOIN,0.9011
3/5/2011,BITCOIN,0.907840607
3/6/2011,BITCOIN,0.884770973
3/7/2011,BITCOIN,0.877583864
3/8/2011,BITCOIN,0.866071591
3/9/2011,BITCOIN,0.86
3/10/2011,BITCOIN,0.92067031
3/11/2011,BITCOIN,0.88
3/12/2011,BITCOIN,0.917815513
3/13/2011,BITCOIN,0.89249
3/14/2011,BITCOIN,0.893924923
3/15/2011,BITCOIN,0.87224
3/16/2011,BITCOIN,0.851211666
3/17/2011,BITCOIN,0.82542
3/18/2011,BITCOIN,0.801959208
3/19/2011,BITCOIN,0.765
3/20/2011,BITCOIN,0.7415
3/21/2011,BITCOIN,0.75897
3/22/2011,BITCOIN,0.809130293
3/23/2011,BITCOIN,0.84971
3/24/2011,BITCOIN,0.872374366
3/25/2011,BITCOIN,0.88377
3/26/2011,BITCOIN,0.8552
3/27/2011,BITCOIN,0.822
3/28/2011,BITCOIN,0.7947405
3/29/2011,BITCOIN,0.792509942
3/30/2011,BITCOIN,0.789706312
3/31/2011,BITCOIN,0.78461
4/1/2011,BITCOIN,0.77411
4/2/2011,BITCOIN,0.78199
4/3/2011,BITCOIN,0.779
4/4/2011,BITCOIN,0.68
4/5/2011,BITCOIN,0.715691835
4/6/2011,BITCOIN,0.74
4/7/2011,BITCOIN,0.7538
4/8/2011,BITCOIN,0.74999
4/9/2011,BITCOIN,0.734060517
4/10/2011,BITCOIN,0.733156821
4/11/2011,BITCOIN,0.770113933
4/12/2011,BITCOIN,0.861381608
4/13/2011,BITCOIN,0.930320058
4/14/2011,BITCOIN,0.998629766
4/15/2011,BITCOIN,0.983673137
4/16/2011,BITCOIN,1.046632858
4/17/2011,BITCOIN,1.098122098
4/18/2011,BITCOIN,1.149433312
4/19/2011,BITCOIN,1.185162221
4/20/2011,BITCOIN,1.142125985
4/21/2011,BITCOIN,1.207338872
4/22/2011,BITCOIN,1.404505082
4/23/2011,BITCOIN,1.828852301
4/24/2011,BITCOIN,1.63198422
4/25/2011,BITCOIN,1.564483635
4/26/2011,BITCOIN,1.77084089
4/27/2011,BITCOIN,1.903175959
4/28/2011,BITCOIN,2.285744466
4/29/2011,BITCOIN,2.85060509
4/30/2011,BITCOIN,3.5
5/1/2011,BITCOIN,3.094227553
5/2/2011,BITCOIN,3.2
5/3/2011,BITCOIN,3.360585704
5/4/2011,BITCOIN,3.408673047
5/5/2011,BITCOIN,3.343736684
5/6/2011,BITCOIN,3.455075584
5/7/2011,BITCOIN,3.641262978
5/8/2011,BITCOIN,3.848668377
5/9/2011,BITCOIN,3.804089582
5/10/2011,BITCOIN,5.651667002
5/11/2011,BITCOIN,5.439751044
5/12/2011,BITCOIN,6.334878694
5/13/2011,BITCOIN,8.139034867
5/14/2011,BITCOIN,7.007243829
5/15/2011,BITCOIN,6.924924845
5/16/2011,BITCOIN,7.885140745
5/17/2011,BITCOIN,7.257199541
5/18/2011,BITCOIN,6.763163362
5/19/2011,BITCOIN,6.890143632
5/20/2011,BITCOIN,5.618096219
5/21/2011,BITCOIN,6.084800667
5/22/2011,BITCOIN,6.71195604
5/23/2011,BITCOIN,7.065256784
5/24/2011,BITCOIN,7.402660582
5/25/2011,BITCOIN,8.569289637
5/26/2011,BITCOIN,8.782155434
5/27/2011,BITCOIN,8.528658468
5/28/2011,BITCOIN,8.34926912
5/29/2011,BITCOIN,8.400953472
5/30/2011,BITCOIN,8.779342465
5/31/2011,BITCOIN,8.721576422
6/1/2011,BITCOIN,9.623777232
6/2/2011,BITCOIN,10.70276023
6/3/2011,BITCOIN,14.26464677
6/4/2011,BITCOIN,18.31273873
6/5/2011,BITCOIN,16.5433424
6/6/2011,BITCOIN,18.40209864
